"BehaviorSpace results (NetLogo 6.1.1)"
"model-1-exp.nlogo"
"experiment-25Sept2021-b"
"09/25/2021 01:36:36:400 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","[step]","number-of-people","number-of-built-systems","max-access-potential","min-access-potential","built-sys-state-min","built-sys-state-max","random-damage-limit","network-radius","seek-capability-when","share-access-potential","capability-call-help","capability-high","capability-low","capability-lim","built-sys-capability-output","built-sys-operation-threshold","sum-access-potential","avg-network-size","avg-built-sys-links-per-person","global-mean-capability-attainment","stdev-global-capability-attainment","capability-good-level-%","capability-acceptable-level-%","capability-unacceptable-level-%","avg-built-sys-state","stdev-built-sys-state","aggr-system-damages","aggr-system-recoveries","aggr-capability-provided","aggr-capability-help","aggr-access-potential-transferred","access-potential-initial-global-mean","access-potential-initial-global-stdev","max-global-mean-capability-attainment","min-global-mean-capability-attainment","max-global-mean-system-state","min-global-mean-system-state","access-potential-final-global-mean","access-potential-final-global-stdev"
"16","960","200","12","1","0","0.3","0.9","29.98","45","avg-capability-attainment < capability-high","no","true","0.75","0.5","0.25","capability-high","0.2","102.04000000000003","5.785","4.5","0.0065625","0.034545176069872396","0","0","100","0.1640091032177633","0.018346684988839217","26135.329750862074","24751.708999999984","84595.06925781255","10551.319257812487","0","0.5102","0.29419161020938034","0.614542578125","0.0065625","0.71158626820218","0.1640091032177633","0.5102","0.29419161020938017"
"11","3000","200","12","1","0","0.3","0.9","5.51","45","avg-capability-attainment < capability-high","no","false","0.75","0.5","0.25","capability-high","0.2","102.10000000000001","6.485","5.575","0.5025","0.23534629141845878","69","12.5","18.5","0.7189047007521455","0.17982385956961056","27931.799394146376","36071.50029999992","287736","0","0","0.5105000000000002","0.31008630667596354","0.56625","0.4415625","0.7189587362383487","0.6590111761763141","0.5105000000000003","0.31008630667596354"
"14","1606","200","12","1","0","0.3","0.9","18.8","45","avg-capability-attainment < capability-high","yes, through personal transfers","false","0.75","0.5","0.25","capability-high","0.2","100.55000000000004","6.26","4.76","0","0","0","0","100","0.16721266331236195","0.03319933405567675","42075.73906569773","43496.78210000003","140918.25","0","5156.390908632053","0.5027500000000003","0.2737565538097105","0.598125","0","0.636096878676854","0.16721266331236193","0.5027499999999998","0.2737565538097104"
"13","3000","200","12","1","0","0.3","0.9","7.06","45","avg-capability-attainment < capability-high","no","true","0.75","0.5","0.25","capability-high","0.2","103.11999999999999","6.79","5.65","0.5557968750000001","0.12875765237876105","76","22.5","1.5","0.5065510397978649","0.17159869449151827","42666.45771572191","50729.75360000006","331132.818203126","34590.31820312495","0","0.5156000000000003","0.27996345777340687","0.6635874999999999","0.4996125","0.6745891645101847","0.5065510397978649","0.5156000000000003","0.2799634577734069"
"22","927","200","12","1","0","0.3","0.9","25.78","45","avg-capability-attainment < capability-high","yes, through a community fund","false","0.75","0.5","0.25","capability-high","0.2","97.37000000000006","6.43","5.235","0","0","0","0","100","0.1664944363259923","0.03184442968054173","28285.67729827298","27502.777300000005","84089.25","0","54164.67079032963","0.48685000000000045","0.2924658250017766","0.6365625","0","0.5524618762304782","0.1664944363259923","0.48685000000000045","1.669513551129383E-16"
"20","1607","200","12","1","0","0.3","0.9","18.59","45","avg-capability-attainment < capability-high","yes, through personal transfers","false","0.75","0.5","0.25","capability-high","0.2","105.98999999999994","6.13","5.705","0","0","0","0","100","0.16112794339948336","0.0423949095155927","43351.23661415856","44299.712899999984","139320","0","5563.234748815205","0.52995","0.2999539286231845","0.5878125","0","0.59546856754517","0.16112794339948336","0.5299499999999999","0.2999539286231845"
"18","3000","200","12","1","0","0.3","0.9","6.12","45","avg-capability-attainment < capability-high","yes, through a community fund","false","0.75","0.5","0.25","capability-high","0.2","102.50999999999996","6.37","5.275","0.5446875","0.16234984123334542","83.5","9.5","7.000000000000001","0.6506806811888896","0.1930964028472253","39758.24129289313","47487.41710000006","325702.5","0","168439.51147068","0.51255","0.2808261278270805","0.643125","0.492165625","0.6510902987763906","0.5847036529548376","0.512550000000001","1.3356108409035063E-15"
"19","3000","200","12","1","0","0.3","0.9","7.27","45","avg-capability-attainment < capability-high","yes, through a community fund","false","0.75","0.5","0.25","capability-high","0.2","100.85000000000002","6.38","5.115","0.5390625","0.15263564638210306","78.5","16","5.5","0.6206879387828599","0.1533865018467703","43900.91155457228","52220.40440000011","323052","0","173329.72870492446","0.5042500000000001","0.28897920757739703","0.643125","0.5057843750000001","0.6295261858643355","0.6206766509755138","0.5042499999999991","6.678054204517532E-16"
"12","3000","200","12","1","0","0.3","0.9","3.74","45","avg-capability-attainment < capability-high","yes, through personal transfers","false","0.75","0.5","0.25","capability-high","0.2","100.71000000000001","5.825","5","0.5128125","0.19121092196089567","75.5","13","11.5","0.7446283624343689","0.18816766690180098","31240.356997223487","39443.57039999995","303203.25","0","13558.11491030631","0.5035499999999999","0.2748062771294512","0.583125","0.4696875","0.7446283624343689","0.5921994527756326","0.5035499999999998","0.24502268181013484"
"21","3000","200","12","1","0","0.3","0.9","9.61","45","avg-capability-attainment < capability-high","yes, through a community fund","false","0.75","0.5","0.25","capability-high","0.2","100.68","6.28","5.36","0.530625","0.13827017059140728","81.5","11.5","7.000000000000001","0.5332754704776818","0.18361686421777862","53456.08974663038","61809.90489999993","324643.5","0","177995.9115317678","0.5034000000000002","0.2967587721436741","0.6515625","0.4999937499999996","0.636743996729592","0.5332754704776818","0.5033999999999993","6.678054204517532E-16"
"17","3000","200","12","1","0","0.3","0.9","11.62","45","avg-capability-attainment < capability-high","yes, through personal transfers","false","0.75","0.5","0.25","capability-high","0.2","96.77999999999999","6.335","5.515","0.361875","0.25043852870173844","48.5","13.5","38","0.2433796246665124","0.12111377305578296","62475.35640390573","69114.30329999994","269409","0","8683.243425650628","0.4838999999999999","0.28920579169468374","0.5821875","0.343125","0.6895742618016504","0.24337962466651233","0.48389999999999994","0.2817388151164296"
"24","3000","200","12","1","0","0.3","0.9","11.76","45","avg-capability-attainment < capability-high","no","false","0.75","0.5","0.25","capability-high","0.2","97.39999999999995","6.18","4.94","0.40125","0.22870690136869126","51","17.5","31.5","0.3510648698757565","0.14679936532285157","59769.54182247792","67584.50120000012","269649","0","0","0.48699999999999993","0.2757957878266356","0.553125","0.373125","0.6579637874505646","0.3510648698757566","0.48699999999999966","0.27579578782663555"
"23","3000","200","12","1","0","0.3","0.9","2.46","45","avg-capability-attainment < capability-high","no","true","0.75","0.5","0.25","capability-high","0.2","94.43000000000004","6.585","5.455","0.5662015625","0.12648021336843204","79","20","1","0.7315946865460282","0.18015895423379827","33103.52810030746","40732.1598","324091.7658984382","43993.76589843745","0","0.47214999999999996","0.2783347420700766","0.6298287109375001","0.4945499999999996","0.7315946865460282","0.5417911510263074","0.47215","0.27833474207007664"
"26","2233","200","12","1","0","0.3","0.9","13.78","45","avg-capability-attainment < capability-high","no","true","0.75","0.5","0.25","capability-high","0.2","102.37000000000002","6.255","5.095","0","0","0","0","100","0.15701144099322709","0.04339474955907232","59844.65985774123","57592.547899999976","217997.8544628909","27772.354462890584","0","0.5118500000000001","0.2795636900313051","0.641546875","0","0.5916610023386534","0.15701144099322709","0.5118499999999999","0.279563690031305"
"25","2890","200","12","1","0","0.3","0.9","12.26","45","avg-capability-attainment < capability-high","yes, through a community fund","false","0.75","0.5","0.25","capability-high","0.2","106.43999999999994","6.575","4.915","0.0084375","0.03896706306316716","0","0","100","0.1521304158431699","0.04330391775102078","76045.0006041618","78051.44700000007","270957.75","0","160854.4437701907","0.5322","0.27839121455553967","0.6403125","0.0084375","0.5854303481920721","0.15213041584316989","0.532200000000002","2.114717164763885E-15"
"28","1531","200","12","1","0","0.3","0.9","20.36","45","avg-capability-attainment < capability-high","yes, through personal transfers","false","0.75","0.5","0.25","capability-high","0.2","97.8599999999999","6.155","4.615","0.0084375","0.038967063063167155","0","0","100","0.1471127390342198","0.038703022586132875","36839.45242711829","36288.3989000001","117165.75","0","4515.371736378667","0.4892999999999996","0.298083509933831","0.568125","0.0084375","0.6077999699257762","0.14711273903421979","0.4892999999999998","0.2980835099338309"
